player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year,wOBA,wRC+,wRAA
阿部 慎之助,111,419,343,44,83,14,0,15,142,47,0,0,0,4,64,1,8,84,9,0.242,0.414,0.37,巨人,2015,0.3661613239988795,145.22723864127767,18.893557780370106
井端 弘和,98,321,269,20,63,9,0,1,75,19,3,3,10,2,37,0,3,36,4,0.234,0.279,0.331,巨人,2015,0.29541189892993264,77.36532689445504,-7.244007806274864
隠善 智也,3,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,巨人,2015,0.9201949521869334,676.6489589482593,1.1498499178060626
内海 哲也,5,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,巨人,2015,0.0,-205.9898550679131,-2.4406003287757496
大田 泰示,60,138,130,13,36,7,0,1,46,3,3,2,0,0,7,0,1,39,0,0.277,0.354,0.319,巨人,2015,0.3120358047682635,93.31075726069348,-0.9203556713816793
大竹 寛,11,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0.0,0.0,0.0,巨人,2015,0.0,-205.9898550679131,-4.881200657551499
岡本 和真,17,31,28,2,6,0,0,1,9,4,2,0,0,0,2,0,1,4,3,0.214,0.321,0.29,巨人,2015,0.2900907840472004,72.26138395478057,-0.8573262740060297
カステヤーノス,6,22,20,2,2,1,0,0,3,1,0,0,0,0,2,0,0,11,0,0.1,0.15,0.182,巨人,2015,0.1677834804349109,-45.05416222302215,-3.181650904133311
片岡 治大,113,411,348,42,85,13,1,10,130,36,21,9,36,0,25,0,2,36,7,0.244,0.374,0.299,巨人,2015,0.31091435505710024,92.23507754664217,-3.181841890854123
加藤 健,35,83,75,3,18,3,0,0,21,3,0,0,2,2,4,0,0,24,2,0.24,0.28,0.272,巨人,2015,0.25522242150302565,38.81611228758249,-5.063080262900258
亀井 善行,109,432,382,42,104,21,0,6,143,35,8,1,3,6,40,0,1,59,6,0.272,0.374,0.338,巨人,2015,0.32991202261734853,110.45738872602875,4.504085742613004
金城 龍彦,36,95,90,9,21,3,0,1,27,10,1,0,1,0,3,0,1,11,0,0.233,0.3,0.266,巨人,2015,0.26319889468983126,46.46703975344376,-5.070426776552454
小林 誠司,70,204,177,13,40,6,0,2,52,13,2,0,5,0,19,1,3,39,6,0.226,0.294,0.312,巨人,2015,0.2903196157396532,72.48087628426558,-5.597117429007745
小山 雄輝,7,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.25,0.25,0.25,巨人,2015,0.23004873804673334,14.669848436130012,-0.3403001643878748
坂口 真規,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,巨人,2015,0.0,-205.9898550679131,-0.9152251232909061
坂本 勇人,130,558,479,50,129,21,3,12,192,68,10,4,9,5,65,1,0,79,5,0.269,0.401,0.353,巨人,2015,0.34935866478334016,129.11035040245932,16.19501231379308
實松 一成,22,39,33,5,6,0,0,1,9,3,1,0,2,0,2,0,2,9,0,0.182,0.273,0.27,巨人,2015,0.2633973266087905,46.6573730227112,-2.0741428189979954
澤村 拓一,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,巨人,2015,0.0,-205.9898550679131,-0.3050750410969687
菅野 智之,25,60,53,0,4,1,1,0,7,2,0,0,6,0,0,0,1,21,0,0.075,0.132,0.093,巨人,2015,0.10398667704637694,-106.24721131229767,-12.337835799151456
杉内 俊哉,17,28,26,1,3,0,0,0,3,2,0,0,2,0,0,0,0,9,0,0.115,0.115,0.115,巨人,2015,0.10617634063695386,-104.14691498912396,-5.6990242276382
鈴木 尚広,65,22,17,22,5,1,0,1,9,4,10,1,2,0,2,0,1,4,0,0.294,0.529,0.4,巨人,2015,0.4240216512634108,200.72609843613,2.209349095866689
